"No","NN.sigma","lat","long"
1,0.00313014394420229,-56.994,336.69
2,0.0645304909028631,-56.15,344.58
3,0.0439691080655266,-57.745,353.53
4,0.160727213031518,-56.993,354
5,0.0852787193637249,-55.965,354.06
6,0.151962912489972,-55.003,353.96
7,0.0254535198515311,-53.998,354.01
8,0.0224507368074732,-53.007,354.01
9,0.763998318642886,-49.006,354.01
10,0.244715084714106,-49.99,354.01
11,0.0910438984668035,-56.065,353.2
12,0.103148331920471,-52.006,354
13,0.567314638052973,-51.002,354
14,0.313542977942889,-49.993,354.02
15,0.522278854433916,-49.007,354
16,0.199302498732185,-46.987,354.06
17,0.0324073597593789,-55.012,353.97
18,0.0171601596686247,-57.489,354
19,0.00181696390917358,-57.993,354.02
20,0.0910553580240502,-59.002,354
21,0.0770134580043644,-59.49,354.01
22,0.0252618151349207,-57.251,354.04
23,0.0637331954636076,-57.501,353.98
24,0.0402187952360304,-57.999,354.01
25,0.00399510154814608,-57.998,353.5
26,0.0608192539707225,-57.497,353.49
27,0.0670791292883783,-59.499,354
28,0.0999900907202887,-58.949,354.02
29,0.00782576135031178,-57.993,354.01
30,0.0114716423106976,-57.071,354
31,0.0246019201170029,-55.002,354
32,0.0354023562032825,-53.995,354
33,0.129378325050599,-52.993,354.01
34,0.732558099608869,-50.015,354.02
35,0.219287699374104,-48.011,353.99
36,0.417350908083725,-47,354
37,0.484435001707611,-48.006,354
38,0.560388970631084,-48.597,354
39,0.12921973127118,-49.009,354.01
40,0.686713511544749,-49.5,354
41,0.00523056690616832,81.38,64.87
42,0.175007145994303,81.46,66.86
43,0.0783257960955444,81.22,70.06
44,0.053825758594992,81.26,70.95
45,0.165891255916776,81.29,72.02
46,0.0522215196389381,81.38,72.93
47,0.080458559284262,81.44,74.22
48,0.0666583210868624,81.43,74.41
49,0.0146156873336685,81.42,74.56
50,0.0073286008162466,81.42,75.75
51,0.00638093564938183,81.85,81.85
52,0.014036629501563,81.54,82.71
53,0.0561568902191703,81.83,85.99
54,1.21355895125603,82.03,90.83
55,0.885966382637618,82.06,91.26
56,0.812940183173336,82.09,91.5
57,0.395462240908725,85.88,121.24
58,0.0654637763615792,86.15,125.95
59,0.229159332306507,86.4,130.63
60,0.27059687750244,86.39,134.19
61,0.213341803603058,86.43,136.04
62,0.166036384138014,86.46,140.19
63,0.149245078309869,86.45,141.1
64,0.196631737751272,86.45,143.13
65,0.109702988073643,86.42,144.49
66,0.0471308362307045,86.36,148.12
67,0.0282612862922882,86.24,153.02
68,0.472368725327071,85.99,159.97
69,0.447130310022224,85.97,160.51
70,0.409711693360358,85.83,161.68
71,0.130449800807841,83.02,150.28
72,0.588121594160024,82.53,143.56
73,0.559356355080429,82.5,140.05
74,0.141972142099083,82.5,136.41
75,0.055990398934841,82.52,132.95
76,0.0945704231936581,81.07,138.92
77,0.0252342640694742,81.07,138.03
78,0.0538125648793623,81.08,136.76
79,0.220476387076414,80.99,141.8
80,0.552234066562933,80.92,144.27
81,0.568286080070169,80.52,148.6
82,0.0953992291823722,80.32,150.12
83,0.365034465515135,80.15,150.06
84,0.80050526661264,80,149.93
85,0.759525579069569,79.82,149.22
86,0.711865446275174,79.66,148.68
87,0.0591659881735863,78.52,133.92
88,0.093850202774999,78.97,133.15
89,0.0396491953953378,78.82,132.81
90,0.0497204032039398,78.56,132.22
91,0.0322154905131109,78.29,132.54
92,0.0834171800815583,78.13,132.45
93,0.0566435140009979,78.03,132.37
94,0.014764492774883,77.99,132.5
95,0.0339043501163419,-60.463,319.19
96,0.0427069385015347,-60.624,317.97
97,0.107126843418031,-60.868,317
98,0.042828138148361,-60.35,309.18
99,0.0324435757478004,-60.633,309.88
100,0.0235753519456314,-60.327,310.51
101,0.0139420781671611,-60.512,311.53
102,0.0204111214977248,-60.326,311.66
103,0.0141866632626079,-60.336,312.53
104,0.00504397756095056,-59.832,311.92
105,0.0222858843377478,-60.038,311.91
106,0.0252368734188355,-60.196,311.91
107,0.0358267506588647,-60.501,312.15
108,0.0209385289767965,-61.185,311.1
109,0.0152291762136316,-61.701,310.89
110,0.101597529552606,-62.829,307.58
111,0.0851433212800872,-62.951,307.23
112,0.0601839063875984,-63.661,306.14
113,0.0698913503838698,-64.291,305.42
114,0.0522011791003759,-64.414,304.73
115,0.0666656702832135,-64.726,302.67
116,0.0984538764457935,-65.053,302.65
117,0.0575579331129309,-64.185,305.81
118,0.0178260989788391,-64.233,306.14
119,0.0299434134910515,-64.383,307.11
120,0.0428255064348861,-62.742,305
121,0.0438190473996704,-62.518,305
122,0.0305922469661819,-62.293,305
123,0.0227501226092271,-62.07,305
124,0.0771476561767989,-61.84,305
125,0.00199986545144032,83.498,34.043
126,0.0102484175601268,83.999,34.014
127,0.0289688374040031,83.138,61.741
128,0.0624741943300104,82.806,60.797
129,0.683953921274158,86.459,135.02
130,0.155986038108388,76.18,122.13
131,0.121599943161712,75.2,121.36
132,0.221302801022759,-52.037,359.98
133,0.262728762842952,-70.066,356.59
134,0.0159855576361214,-69.537,357.11
135,0.0920672374769854,-69.078,356.99
136,0.049326466369276,-67.93,357.05
137,0.0655487548797724,-67.516,357
138,0.000191635243349065,-66.973,356.92
139,0.0295129744664937,-66.478,357.04
140,0.0239716097287487,-66.01,356.95
141,0.0518333587728403,-65.5,357
142,0.0273717411407118,-65.003,357
143,0.043804836516322,-64.504,357
144,0.0468904103111508,-63.976,357.05
145,0.103001761647917,-63.521,356.98
146,0.0826907900565161,-63.001,357
147,0.0737164721476968,-62.5,357
148,0.0771522548935796,-62.011,357.03
149,0.0583777998802246,-62,363
150,0.026218099107662,-62.487,363.01
151,0.0127782758372911,-63.015,362.98
152,0.00218812403654486,-63.489,363.01
153,0.0199329089733804,-63.996,362.99
154,0.00800464016013406,-64.491,362.85
155,4.56217962658835e-05,-65,363
156,0.00861008633194296,-65.503,363
157,0.00617436507115948,-66.002,362.99
158,0.00681958764879171,-66.512,363.08
159,0.0344561282624606,-67.005,363.02
160,0.0111630969503274,-67.49,362.99
161,0.00824840559070855,-68,363
162,0.0193451407922052,-69.609,360
163,0.0164002613852029,-69.004,359.99
164,0.0165624507748767,-68.487,360.03
165,0.0467942611163953,-67.508,360.01
166,0.00442880845609793,-67.001,359.99
167,0.00478432818726208,-66.499,360.01
168,0.0649163296120411,-66.003,360
169,0.00979747627506071,-65.514,360
170,0.0650206900639092,-65.004,359.99
171,0.00768299406357233,-64.502,360
172,0.023265118900792,-64.004,360
173,0.0251378394215986,-63.502,360
174,0.0524484746011614,-62.998,360.01
175,0.0487515634134784,-62.503,359.99
176,0.0913810350877842,-61.501,360
177,0.0501542055419526,-60.999,360
178,0.0448694307056544,-60.502,360
179,0.0415301169666049,-59.998,360
180,0.0719604168851654,-59.5,360
181,0.0490505624670957,-59.004,360
182,0.031641404234005,-58.499,360
183,0.014333587310137,-58.009,359.99
184,0.144419857024533,-57.505,360
185,0.0646088912915128,-57,360
186,0.0653231553737646,-56.501,360.01
187,0.0453378014549769,-56,360
188,0.198520439544998,-55.5,360
189,0.327993269500872,-55.002,360
190,0.104238732568207,-54.494,360
191,0.273648857572826,-54,360
192,0.0767167248997998,-53.503,360.01
193,0.0296680394484853,-53.001,360
194,0.841970006585894,-51.01,359.94
195,0.821047454387755,-50.501,360
196,0.912100007457181,-50.006,360.02
197,0.892102494772527,-49.499,360
198,0.834228156293144,-49.005,360
199,0.309518039644253,-48.497,359.99
200,0.367241268483546,-48.001,360
201,0.0274290085919546,-47.003,359.99
202,0.817115549083778,-46.499,360.01
203,0.0649792506892698,-62.02,359.93
204,0.148972810148257,-52.197,359.89
205,0.00145356260251455,-67.993,359.92
206,1.38032603838049,-42.334,369
207,1.32689407976053,-44.66,367.1
208,0.486989050882296,-48.912,362.8
209,0.381930366927138,-52.505,358.62
210,0.14533935621919,-56.005,360.01
211,0.0131498303468769,-57.5,360.01
212,0.0974542377858824,-58.004,360
213,0.223517739293128,-59,360.01
214,0.0725223857980791,-60.005,360
215,0.00799354578426735,-64.5,360
216,0.0399748489204337,-65.501,360
217,0.130840334439333,-70.52,351.82
218,0.0150827006142335,-66.5,360
219,0.0460215535584075,-67.5,360
220,0.0056447528492694,-69.198,360.04
221,0.0383998605888823,-69.4,360
222,0.00242502655525692,-69.61,360
223,0.416637138486727,-69.075,342.68
224,0.266214442709065,-68.797,342.05
225,0.280474156706537,-67.967,339.98
226,0.2382966329958,-66.952,334.69
227,0.209251536523381,-66.212,329.08
228,0.362331835231683,-65.81,325.37
229,0.33604807207068,-65.452,322.29
230,0.257471254529712,-65.283,320.98
231,0.0815869903580786,-64.947,318.34
232,0.0752647644453389,-64.584,315.77
233,0.138077471353077,-64.3,313.35
234,0.0391324977296355,-63.916,311.35
235,0.0586565282240981,-63.92,310.92
236,0.235315024912384,-63.865,309.99
237,0.260690764298522,-63.706,309.13
238,0.173947756773594,-63.702,308.69
239,0.0995637468381776,-63.472,307.9
240,0.0721314097675129,-63.288,306.77
241,0.0356714261181664,-60.708,306.39
242,0.036455923886875,-60.627,306.17
243,0.00265890310213478,-60.445,305.68
244,0.19873554658429,-56.119,296.24
245,0.698970649711215,-51.945,360
246,0.145670064554314,-52.47,360
247,0.0448724904706863,-53.011,360
248,0.0378242673761512,-55.006,360
249,0.00986429382735663,-56,360
250,0.0197241221722443,-56.933,360
251,0.000677067160113192,-57.499,359.99
252,0.034081786237094,-57.996,360
253,0.0232218118957876,-58.499,360.01
254,0.0553217905700183,-59.522,360
255,0.105683360735432,-59.999,360
256,0.0511753004356159,-60.501,360.03
257,0.106119671069506,-61.007,360
258,0.042035873632557,-61.98,360.02
259,0.0854549826153325,-62.491,360.07
260,0.024974212666022,-64.04,360
261,0.0469086727260791,-65.009,359.99
262,0.0138065391775407,-65.5,360
263,0.0604529750345305,-66.013,360.12
264,5.19821758875091e-05,-66.498,359.99
265,0.0158882837861972,-67.002,360
266,0.00493330591593982,-67.496,360.01
267,0.03831025475034,-68.001,360
268,0.0654591658910539,-68.501,360
269,0.0244531659271472,-68.75,360
