botid,date(mmddyy),time(hhmmss),press(dbar),theta(ITS-90),sigma(kg/m3),temp(ITS-90),csal(PSS-78),coxy(umol/kg),bsal(PSS-78),boxy(umol/kg),dic(umol/kg),ph,alk(ueq/kg),phos(umol/kg),pH,Aragonite,Calcite
30200112,10889,31031,2396.7,1.6244,27.713,1.7916,34.6407,98.3,34.642,101.4,2364.4,-9,2424,2.79,7.824,0.991,1.576
30200111,10889,30505,2575.1,1.5043,27.73,1.6854,34.6509,107.5,34.6524,110.2,2358.6,-9,2422,2.75,7.838,1.016,1.615
30200110,10889,30034,2786.4,1.3924,27.746,1.5911,34.6612,-9,-9,119.9,2345.8,-9,2421,2.71,7.876,1.099,1.747
30200109,10889,25559,2987.6,1.3224,27.757,1.5388,34.6684,125.6,34.6694,126.6,2350.7,-9,2418,2.68,7.853,1.041,1.656
30200108,10889,25148,3197.6,1.2582,27.766,1.494,34.6739,133.9,34.6751,134.3,2336,-9,2414,-9,7.895,1.137,1.808
30200106,10889,24311,3590,1.1804,27.777,1.4546,34.6815,145.1,34.6816,143.6,2335,-9,2418,2.56,7.903,1.155,1.837
30200105,10889,23835,3794.8,1.1531,27.781,1.4486,34.6842,150.1,34.6839,149.9,2319.4,-9,2417,2.56,7.946,1.266,2.013
30200208,10889,64400,757.5,4.7488,27.137,4.8092,34.2853,30.3,34.287,31.8,2322,-9,2328,3.04,7.604,0.659,1.045
30200207,10889,63926,928.8,4.1233,27.331,4.1944,34.4434,37.4,34.445,41.1,2346.2,-9,2355,3.06,7.622,0.678,1.076
30200206,10889,63348,1148.5,3.5805,27.442,3.6658,34.5136,48,34.5139,51.6,2353.9,-9,2365,3.02,7.637,0.691,1.096
30200205,10889,62949,1351.3,3.0859,27.517,3.1833,34.5492,57,34.5522,60.7,2361.7,-9,2383,3,7.678,0.748,1.188
30200204,10889,62431,1600.2,2.5809,27.587,2.6935,34.58,68.5,34.5804,73.2,2359.7,-9,2391,2.96,7.719,0.805,1.279
30200203,10889,61933,1775.8,2.2892,27.625,2.4128,34.5967,75.8,34.5966,78.5,2362.6,-9,2403,2.9,7.753,0.862,1.370
30200202,10889,61513,1926.6,2.084,27.651,2.2174,34.6083,79.9,-9,84.4,2357.7,-9,2403,2.87,7.772,0.892,1.418
30200201,10889,60723,2201.1,1.7582,27.694,1.9103,34.6305,91.1,34.6303,93.7,2372.3,-9,2418,2.82,7.778,0.898,1.428
30200312,10889,104034,19.7,24.673,23.469,24.6773,35.0352,222.3,35.0356,209.3,1968,-9,2305,0.09,8.110,3.758,5.706
30200311,10889,103714,118.8,22.9425,24.029,22.9668,35.1023,215.8,35.1069,203.8,1997.2,-9,2311,0.13,8.097,3.484,5.317
30200310,10889,103432,186,19.8136,24.867,19.8478,35.0726,188.6,35.0725,185.3,2046.1,-9,2303,0.3,8.045,2.852,4.389
30200309,10889,103200,252.9,16.2017,25.47,16.2421,34.6984,186.6,34.7091,193.1,2056.4,-9,2282,0.46,8.047,2.492,3.871
30200308,10889,102855,334.2,12.1944,25.995,12.2385,34.2827,174.8,34.2836,182.3,2097.2,-9,2265,1.02,7.987,1.900,2.979
30200307,10889,102651,384.7,10.4342,26.238,10.4801,34.1804,165.5,34.1807,172.3,2117.9,-9,2258,1.34,7.946,1.633,2.569
30200306,10889,102432,436.6,9.1532,26.407,9.2014,34.1231,165.5,34.1241,166.3,2142.4,-9,2271,1.55,7.933,1.528,2.409
30200305,10889,102151,504.2,7.4549,26.642,7.5044,34.0938,123.2,34.0924,116.8,2205,-9,2275,2.14,7.784,1.050,1.661
