Id,yyyymmdd,decy,time,latN,lonW,Depth,Temp,CTD_S,Sal1,Sig-th,O2(1),OxFix,Anom1,CO2,Alk,NO31,NO21,PO41,Si1,POC,PON,TOC,TN,Bact,POP,TDP,SRP,BSi,LSi,Pro,Syn,Piceu,Naneu
1004900501,19921014,1992.78518,1413,31.843,63.952,249.7,18.36,36.579,36.569,26.397,-999,19.1,-17,2086.1,2387,3.17,0,0.14,1.36,-999,-999,-999,-999,-999,-999,-999,-999,7.24,5.9,-999,-999,-999,-999
1004900502,19921014,1992.78518,1413,31.843,63.952,200.2,18.675,36.606,36.606,26.343,205.1,19.4,-17.3,2083.2,2390.3,2.74,0,0.12,1.28,-999,-999,-999,-999,-999,-999,-999,-999,7.56,3.85,-999,-999,-999,-999
1004900503,19921014,1992.78518,1413,31.843,63.952,159.8,19.005,36.625,36.62,26.267,201.3,19.7,-19.7,2082.9,2391.5,2.56,0,0.11,0.85,-999,-999,-999,-999,-999,-999,-999,-999,10.83,4.9,-999,-999,-999,-999
1004900504,19921014,1992.78518,1413,31.843,63.952,139.7,19.186,36.639,36.627,26.225,201.2,19.9,-19.1,2081.7,2394.4,2.15,0,0.09,0.86,-999,-999,-999,-999,-999,-999,-999,-999,9.92,3.49,-999,-999,-999,-999
1004900505,19921014,1992.78518,1413,31.843,63.952,119.8,19.53,36.673,36.635,26.141,204.5,20.2,-14.4,2076.2,2396.2,1.55,0.02,0.07,0.87,-999,-999,-999,-999,-999,-999,-999,-999,11.87,2.73,-999,-999,-999,-999
1004900506,19921014,1992.78518,1413,31.843,63.952,99.7,20.232,36.685,36.667,25.978,197.6,20.8,-18.5,2080.3,2395.7,1.91,0.02,0.1,0.88,-999,-999,-999,-999,-999,-999,-999,-999,13.45,7.68,-999,-999,-999,-999
1004900507,19921014,1992.78518,1413,31.843,63.952,79.5,21.355,36.64,36.694,25.692,193.7,21.8,-18.2,2077.6,2395.5,1.81,0.078,0.08,0.89,-999,-999,-999,-999,-999,-999,-999,-999,17.16,3.33,-999,-999,-999,-999
1004900508,19921014,1992.78518,1413,31.843,63.952,58.2,22.947,36.346,36.586,25.158,209.4,23.3,2.8,2053.1,2390.7,0,0,0,0.67,-999,-999,-999,-999,-999,-999,-999,-999,15.64,6.35,-999,-999,-999,-999
1004900509,19921014,1992.78518,1413,31.843,63.952,50.5,25.015,36.344,36.397,24.398,-999,25,9.6,2021,2376.5,0,0,0,0.68,-999,-999,-999,-999,-999,-999,-999,-999,12.34,3.91,-999,-999,-999,-999
1004900511,19921014,1992.78518,1413,31.843,63.952,19,25.141,36.345,36.346,24.319,-999,25.1,7.1,2014.3,2374,0,0,0,0.84,-999,-999,-999,-999,-999,-999,-999,-999,13.4,2.66,-999,-999,-999,-999
