"No","NN.sigma","lat","long"
1,0.000925624935997896,-56.994,336.69
2,0.000363655318522908,-56.15,344.58
3,0.0189796163675334,-57.745,353.53
4,0.0183561625281893,-56.993,354
5,0.00270634681693316,-55.965,354.06
6,0.00392042737024008,-55.003,353.96
7,0.0125163695280548,-53.998,354.01
8,0.0193225278820855,-53.007,354.01
9,0.204872791027662,-49.006,354.01
10,0.333648814335237,-49.99,354.01
11,0.00290782169788484,-56.065,353.2
12,0.00200455624729045,-52.006,354
13,0.00139351627861152,-51.002,354
14,0.280255093719842,-49.993,354.02
15,0.0366851140300103,-49.007,354
16,0.0445749988024525,-46.987,354.06
17,0.00192681873718467,-55.012,353.97
18,0.000320777676146665,-57.489,354
19,0.00116408555728144,-57.993,354.02
20,0.00488545659069204,-59.002,354
21,0.000910321118313067,-59.49,354.01
22,0.00461500938041128,-57.251,354.04
23,0.0046917647801834,-57.501,353.98
24,0.0153239608315221,-57.999,354.01
25,0.00138384186535931,-57.998,353.5
26,0.00402804064981313,-57.497,353.49
27,0.00172490382741403,-59.499,354
28,0.000167634768624433,-58.949,354.02
29,0.00441232957740757,-57.993,354.01
30,0.00696810455232812,-57.071,354
31,9.47975073873785e-05,-55.002,354
32,0.000808527503495148,-53.995,354
33,0.0107438117980684,-52.993,354.01
34,0.0012419332365632,-50.015,354.02
35,0.00440812274877392,-48.011,353.99
36,0.0473213443915298,-47,354
37,0.0313934318640775,-48.006,354
38,0.119571335750024,-48.597,354
39,0.0239936058478309,-49.009,354.01
40,0.0581554889202361,-49.5,354
41,0.000556684460469078,81.38,64.87
42,0.0128525396072721,81.46,66.86
43,0.00744972116620687,81.22,70.06
44,0.00170256611029603,81.26,70.95
45,0.0375889262566196,81.29,72.02
46,0.00190801669241759,81.38,72.93
47,0.00103211420332095,81.44,74.22
48,0.00128235023499875,81.43,74.41
49,0.0317707317640516,81.42,74.56
50,0.0152732918502451,81.42,75.75
51,0.0078989127002373,81.85,81.85
52,0.00271848136232281,81.54,82.71
53,0.00512126198576655,81.83,85.99
54,0.0785684545477069,82.03,90.83
55,0.101436427802742,82.06,91.26
56,0.136187928151149,82.09,91.5
57,0.00502154263053668,85.88,121.24
58,0.0317667215497934,86.15,125.95
59,0.00172646463773915,86.4,130.63
60,0.00243036205126218,86.39,134.19
61,0.00363917242806869,86.43,136.04
62,0.0230992014562162,86.46,140.19
63,0.0079473517299622,86.45,141.1
64,0.0322428637305878,86.45,143.13
65,0.0158636857937363,86.42,144.49
66,0.000615116341644699,86.36,148.12
67,0.0009086186578719,86.24,153.02
68,0.0330180012516274,85.99,159.97
69,0.00129114256530191,85.97,160.51
70,0.00758843798672211,85.83,161.68
71,0.00214561681609708,83.02,150.28
72,0.0162629475476494,82.53,143.56
73,0.0551204497949301,82.5,140.05
74,0.0609523541897731,82.5,136.41
75,0.00792212773547955,82.52,132.95
76,0.00012170433454396,81.07,138.92
77,0.0317669447931487,81.07,138.03
78,0.00193812933209279,81.08,136.76
79,0.0569871123832368,80.99,141.8
80,0.0228785436298158,80.92,144.27
81,0.00940907613719572,80.52,148.6
82,0.00167290676681416,80.32,150.12
83,0.00551796850192275,80.15,150.06
84,0.00764428532884969,80,149.93
85,0.0314840907183029,79.82,149.22
86,0.00411351775716356,79.66,148.68
87,0.00276655512013604,78.52,133.92
88,0.000991348859107442,78.97,133.15
89,0.0107079074313406,78.82,132.81
90,0.00166844183714505,78.56,132.22
91,0.00591628646986336,78.29,132.54
92,0.00142973561155775,78.13,132.45
93,0.00292927031705045,78.03,132.37
94,0.000780703932628157,77.99,132.5
95,0.00984769964157877,-60.463,319.19
96,0.0099848513556142,-60.624,317.97
97,0.00252512220187907,-60.868,317
98,0.000359516956185033,-60.35,309.18
99,0.00257179643223763,-60.633,309.88
100,0.00837999424921176,-60.327,310.51
101,0.00473722326208895,-60.512,311.53
102,0.00500141633940215,-60.326,311.66
103,0.00263396058982774,-60.336,312.53
104,0.00127060292596874,-59.832,311.92
105,0.00879050015168998,-60.038,311.91
106,0.00396039631330274,-60.196,311.91
107,0.00147888036130202,-60.501,312.15
108,0.00100713572250718,-61.185,311.1
109,0.000577615921624019,-61.701,310.89
110,0.0024548486909714,-62.829,307.58
111,0.000476910847067683,-62.951,307.23
112,0.00157088315287504,-63.661,306.14
113,0.000422283234999984,-64.291,305.42
114,0.000141216248270439,-64.414,304.73
115,0.00128454576256347,-64.726,302.67
116,0.000546125998609074,-65.053,302.65
117,0.000991645541429312,-64.185,305.81
118,0.00388777235316305,-64.233,306.14
119,0.000226818505612323,-64.383,307.11
120,0.000537117257184743,-62.742,305
121,0.000879345429962202,-62.518,305
122,0.000303246528651082,-62.293,305
123,0.00383599116073233,-62.07,305
124,0.00379523291500861,-61.84,305
125,0.00782952273703565,83.498,34.043
126,0.0132533186544601,83.999,34.014
127,0.0038354379340038,83.138,61.741
128,0.0114073154198978,82.806,60.797
129,0.00135281769272208,86.459,135.02
130,2.626473423749e-05,76.18,122.13
131,0.0534060624178525,75.2,121.36
132,0.0480896395670838,-52.037,359.98
133,0.291444264087885,-70.066,356.59
134,0.00414675356247183,-69.537,357.11
135,0.00428937714122528,-69.078,356.99
136,0.000774148730275525,-67.93,357.05
137,0.00213311149330822,-67.516,357
138,0.00206214086640505,-66.973,356.92
139,0.00010652054473217,-66.478,357.04
140,0.0110040798617029,-66.01,356.95
141,0.00637489264359337,-65.5,357
142,0.00455839535824967,-65.003,357
143,0.000926102942550269,-64.504,357
144,0.0007476627910393,-63.976,357.05
145,0.000287877148429579,-63.521,356.98
146,0.00112489320283679,-63.001,357
147,0.000227640666541997,-62.5,357
148,0.0071196462690312,-62.011,357.03
149,0.0031864685456103,-62,363
150,0.00215301550615278,-62.487,363.01
151,0.000526105017682528,-63.015,362.98
152,0.000139590544400284,-63.489,363.01
153,0.000677574345148616,-63.996,362.99
154,0.000863660860773778,-64.491,362.85
155,0.00149157717746955,-65,363
156,0.000579698014180666,-65.503,363
157,0.00405939570072126,-66.002,362.99
158,0.00348558658679919,-66.512,363.08
159,0.00183517161412033,-67.005,363.02
160,0.0036852429179797,-67.49,362.99
161,0.000775032246211707,-68,363
162,0.00469425121686865,-69.609,360
163,0.000946212235689032,-69.004,359.99
164,0.00175332215402806,-68.487,360.03
165,0.00972540352849156,-67.508,360.01
166,0.00810387758372485,-67.001,359.99
167,0.00413574952701973,-66.499,360.01
168,0.00121214439331096,-66.003,360
169,0.0106058268148463,-65.514,360
170,0.00115314045509722,-65.004,359.99
171,0.000400080967334488,-64.502,360
172,0.00226090837054826,-64.004,360
173,0.00322482740818227,-63.502,360
174,0.00179284589463587,-62.998,360.01
175,0.00359981817350607,-62.503,359.99
176,0.00759943171946043,-61.501,360
177,0.00656421102034143,-60.999,360
178,0.0191696180521661,-60.502,360
179,0.00488181835866967,-59.998,360
180,0.0114449833885513,-59.5,360
181,0.00158040073760093,-59.004,360
182,0.0217905379068632,-58.499,360
183,0.0047424095898403,-58.009,359.99
184,0.0360703172578217,-57.505,360
185,0.00199234242155536,-57,360
186,0.0145297790087891,-56.501,360.01
187,0.0264925799712422,-56,360
188,0.0060242629271244,-55.5,360
189,0.021655145488009,-55.002,360
190,0.00255257705916664,-54.494,360
191,0.000365341730054122,-54,360
192,0.0234956135831983,-53.503,360.01
193,0.000190757263075043,-53.001,360
194,0.216346777227041,-51.01,359.94
195,0.109977493115462,-50.501,360
196,0.134898604820708,-50.006,360.02
197,0.200791869836713,-49.499,360
198,0.129110552577748,-49.005,360
199,0.137938272021569,-48.497,359.99
200,0.148756258519769,-48.001,360
201,0.07878045302077,-47.003,359.99
202,0.0514759840704845,-46.499,360.01
203,0.00206099735883259,-62.02,359.93
204,0.0499991656767303,-52.197,359.89
205,0.00132520878935782,-67.993,359.92
206,0.163774180221409,-42.334,369
207,0.135770043850937,-44.66,367.1
208,0.193422443863668,-48.912,362.8
209,0.0204388741456189,-52.505,358.62
210,0.00853747030848472,-56.005,360.01
211,0.0186483891662425,-57.5,360.01
212,0.0110900614971868,-58.004,360
213,0.0123488384351349,-59,360.01
214,0.019651443888594,-60.005,360
215,0.00129453550350508,-64.5,360
216,0.0187226924393009,-65.501,360
217,0.0346628470709634,-70.52,351.82
218,0.00151305206915017,-66.5,360
219,0.00638780818445826,-67.5,360
220,0.00530567764828582,-69.198,360.04
221,0.000222110138838424,-69.4,360
