"No","NN.sigma_1800_today","lat","long"
1,0.000355630236848705,-56.994,336.69
2,0.0244510340295647,-56.15,344.58
3,0.000626661579454083,-57.745,353.53
4,0.0188063829007435,-56.993,354
5,0.00993136511146545,-55.965,354.06
6,0.00993069694499948,-55.003,353.96
7,0.00543652813404576,-53.998,354.01
8,0.00394357083627919,-53.007,354.01
9,0.121675044766266,-49.006,354.01
10,0.240317857154946,-49.99,354.01
11,0.000283525738723498,-56.065,353.2
12,4.33026989745864e-06,-52.006,354
13,0.00106149918696324,-51.002,354
14,0.247126072041306,-49.993,354.02
15,0.245731130265988,-49.007,354
16,0.00381655049739546,-46.987,354.06
17,0.0061232458419566,-55.012,353.97
18,0.00279128009128259,-57.489,354
19,0.00435071485456154,-57.993,354.02
20,0.00268770390173625,-59.002,354
21,0.00463552921731554,-59.49,354.01
22,0.017744386278493,-57.251,354.04
23,0.0045455721107637,-57.501,353.98
24,0.00608409728336548,-57.999,354.01
25,0.00824583556679965,-57.998,353.5
26,0.00122309915124666,-57.497,353.49
27,0.00328279604784639,-59.499,354
28,0.0340488213818303,-58.949,354.02
29,0.00108544399837137,-57.993,354.01
30,0.00153694944294276,-57.071,354
31,0.000370477724217955,-55.002,354
32,0.00442889192837982,-53.995,354
33,0.375912022089057,-52.993,354.01
34,0.0194394190664848,-50.015,354.02
35,0.00134082106927973,-48.011,353.99
36,0.0373980027526965,-47,354
37,0.000904185693963268,-48.006,354
38,0.031687034337558,-48.597,354
39,0.00419965947353059,-49.009,354.01
40,0.0594652212054704,-49.5,354
41,0.00118128665708155,81.38,64.87
42,0.00111689257010198,81.46,66.86
43,0.036361316286503,81.22,70.06
44,0.00016741929065609,81.26,70.95
45,0.0207113363420327,81.29,72.02
46,0.02361596368655,81.38,72.93
47,0.00743613584190515,81.44,74.22
48,0.00349326679161282,81.43,74.41
49,0.00975581186307874,81.42,74.56
50,0.0264738500389562,81.42,75.75
51,0.00307395982512834,81.85,81.85
52,0.00289298899206197,81.54,82.71
53,0.0104013145678291,81.83,85.99
54,0.026029163550895,82.03,90.83
55,0.153085241881559,82.06,91.26
56,0.00227012074611149,82.09,91.5
57,0.00171202827483522,85.88,121.24
58,0.00789842946314486,86.15,125.95
